iter	Logloss
0	0.5056663312
1	0.3862309955
2	0.3157013612
3	0.2363870558
4	0.1875470084
5	0.1388759831
6	0.1028944358
7	0.08322284973
8	0.06598591189
9	0.05520313306
10	0.04682564477
11	0.03800256372
12	0.03255609832
13	0.02846871173
14	0.024866516
15	0.02128765952
16	0.01890114992
17	0.01656580366
18	0.01474937612
19	0.01307250981
20	0.01198305796
21	0.01115939387
22	0.01037988748
23	0.009617092952
24	0.008877482373
25	0.00817633387
26	0.00723686278
27	0.006698581887
28	0.00636148763
29	0.006021888688
30	0.005721121048
31	0.005491642503
32	0.005171566178
33	0.004871146501
34	0.004519581523
35	0.004345506305
36	0.004132447068
37	0.003928566947
38	0.003766416525
39	0.003642113767
40	0.003515211601
41	0.003355257208
42	0.003237235813
43	0.003108613168
44	0.003018835678
45	0.002932662819
46	0.002833154628
47	0.002712279621
48	0.00263189228
49	0.002567133278
50	0.002485879575
51	0.002411091204
52	0.002340671855
53	0.002278875848
54	0.002225860573
55	0.002165582391
56	0.002098272793
57	0.002036768527
58	0.00199933874
59	0.00193495122
60	0.001902069268
61	0.001857556516
62	0.001828070095
63	0.00177260668
64	0.001733893943
65	0.001700638254
66	0.00166479524
67	0.001629188227
68	0.001593882782
69	0.001555492555
70	0.001532593738
71	0.001499626728
72	0.001474427654
73	0.001445380053
74	0.001424409526
75	0.001393746961
76	0.001368526301
77	0.001368574307
78	0.001341655881
79	0.001317290708
80	0.001296225055
81	0.00127303635
82	0.001250157105
83	0.001229245216
84	0.001209436255
85	0.001189655325
86	0.00116976485
87	0.001149392545
88	0.00113018986
89	0.001130260097
90	0.001129958449
91	0.001127550663
92	0.001125132244
93	0.001125132244
94	0.001125132244
95	0.001125132244
96	0.001125132244
97	0.001125132244
98	0.001125132244
99	0.001125132244
100	0.001125132244
101	0.001125132244
102	0.001125132244
103	0.001125132244
104	0.001125132244
105	0.001125132244
106	0.001125132244
107	0.001125132244
108	0.001125132244
109	0.001125132244
110	0.001125132244
111	0.001125132244
112	0.001125132244
113	0.001125132244
114	0.001125132244
115	0.001125132244
116	0.001125132244
117	0.001125132244
118	0.001125132244
119	0.001125132244
120	0.001125132244
121	0.001125132244
122	0.001125132244
123	0.001125132244
124	0.001125132244
125	0.001125132244
126	0.001125132244
127	0.001125132244
128	0.001125132244
129	0.001125132244
130	0.001125132244
131	0.001125132244
132	0.001125132244
133	0.001125132244
134	0.001125132244
135	0.001125132244
136	0.001125132244
137	0.001125132244
138	0.001125132244
139	0.001125132244
140	0.001125132244
141	0.001125132244
142	0.001125132244
143	0.001125132244
144	0.001125132244
145	0.001125132244
146	0.001125132244
147	0.001125132244
148	0.001125132244
149	0.001125132244
150	0.001125132244
151	0.001125132244
152	0.001125132244
153	0.001125132244
154	0.001125132244
155	0.001125132244
156	0.001125132244
157	0.001125132244
158	0.001125132244
159	0.001125132244
160	0.001125132244
161	0.001125132244
162	0.001125132244
163	0.001125132244
164	0.001125132244
165	0.001125132244
166	0.001125132244
167	0.001125132244
168	0.001125132244
169	0.001125132244
170	0.001125132244
171	0.001125132244
172	0.001125132244
173	0.001125132244
174	0.001125132244
175	0.001125132244
176	0.001125132244
177	0.001125132244
178	0.001125132244
179	0.001125132244
180	0.001125132244
181	0.001125132244
182	0.001125132244
183	0.001125132244
184	0.001125132244
185	0.001125132244
186	0.001125132244
187	0.001125132244
188	0.001125132244
189	0.001125132244
190	0.001125132244
191	0.001125132244
192	0.001125132244
193	0.001125132244
194	0.001125132244
195	0.001125132244
196	0.001125132244
197	0.001125132244
198	0.001125132244
199	0.001125132244
